,word,session_list,hand,trial_dur,iti_dur,run_number,display_trial_feedback,start_time,end_time
0,dog         ,1,,1.6,0.5,1,False,0.0,1.6
1,gym         ,1,,1.6,0.5,1,False,2.1,3.7
2,night      ,2,,1.6,0.5,1,False,4.2,5.800000000000001
3,light       ,1,,1.6,0.5,1,False,6.300000000000001,7.9
4,kettle      ,1,,1.6,0.5,1,False,8.4,10.0
5,planet     ,2,,1.6,0.5,1,False,10.5,12.100000000000001
6,well        ,1,,1.6,0.5,1,False,12.600000000000001,14.200000000000001
7,camel      ,2,,1.6,0.5,1,False,14.700000000000001,16.3
8,stool       ,1,,1.6,0.5,1,False,16.8,18.4
9,cemetery   ,2,,1.6,0.5,1,False,18.900000000000002,20.5
10,tap        ,2,,1.6,0.5,1,False,21.0,22.6
11,beetle      ,1,,1.6,0.5,1,False,23.1,24.700000000000003
12,traffic    ,2,,1.6,0.5,1,False,25.200000000000003,26.8
13,wolf       ,2,,1.6,0.5,1,False,27.3,28.900000000000002
