,word,session_list,trial_dur,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,story      ,2,1.6,False,None,0.5,0.0,1.6
1,earring     ,1,1.6,False,None,0.5,2.1,1.6
2,anchor      ,1,1.6,False,None,0.5,4.2,1.6
3,coat        ,1,1.6,False,None,0.5,6.3,1.6
4,highway    ,2,1.6,False,None,0.5,8.4,1.6
5,cap         ,1,1.6,False,None,0.5,10.5,1.6
6,mitten      ,1,1.6,False,None,0.5,12.6,1.6
7,exam        ,1,1.6,False,None,0.5,14.7,1.6
8,coffee     ,2,1.6,False,None,0.5,16.8,1.6
9,glue       ,2,1.6,False,None,0.5,18.9,1.6
10,bird        ,1,1.6,False,None,0.5,21.0,1.6
11,question   ,2,1.6,False,None,0.5,23.1,1.6
12,disco      ,2,1.6,False,None,0.5,25.2,1.6
13,cheese     ,2,1.6,False,None,0.5,27.3,1.6
