,condition_name,condition_type,extracted,hit_target,instructed_target,interact_start,player_success,secs_after_interact,secs_before_interact,video_name,player_name,stim,trial_type,video_start_time,video_end_time,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,easy,video,True,3.0,3,1.5,T,-0.12,0.6,DC_51,DC,DC_51_dynamic_120ms_resized.mp4,True,0.9,1.38,True,left,0.5,0.0,2
1,hard,video,True,10.0,12,1.5,F,-0.12,0.6,EW_45,EW,EW_45_dynamic_120ms_resized.mp4,False,0.9,1.38,True,left,0.5,2.5,2
2,hard,video,True,7.0,7,1.7,T,-0.12,0.6,DC_42,DC,DC_42_dynamic_120ms_resized.mp4,True,1.1,1.58,True,left,0.5,5.0,2
3,easy,video,True,1.0,1,1.5,T,-0.12,0.6,DC_160,DC,DC_160_dynamic_120ms_resized.mp4,True,0.9,1.38,True,left,0.5,7.5,2
4,hard,video,True,7.0,7,1.5,T,-0.12,0.6,DC_144,DC,DC_144_dynamic_120ms_resized.mp4,True,0.9,1.38,True,left,0.5,10.0,2
5,easy,video,True,2.0,2,1.6,T,-0.12,0.6,EW_146,EW,EW_146_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,12.5,2
6,hard,video,True,9.0,9,1.7,T,-0.12,0.6,DC_155,DC,DC_155_dynamic_120ms_resized.mp4,False,1.1,1.58,True,left,0.5,15.0,2
7,easy,video,True,15.0,15,1.5,T,-0.12,0.6,DC_52,DC,DC_52_dynamic_120ms_resized.mp4,False,0.9,1.38,True,left,0.5,17.5,2
8,hard,video,True,7.0,8,1.6,F,-0.12,0.6,EW_150,EW,EW_150_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,20.0,2
9,easy,video,True,14.0,14,1.3,T,-0.12,0.6,DC_147,DC,DC_147_dynamic_120ms_resized.mp4,False,0.7,1.18,True,left,0.5,22.5,2
10,hard,video,True,6.0,6,2.0,T,-0.12,0.6,EW_50,EW,EW_50_dynamic_120ms_resized.mp4,True,1.4,1.88,True,left,0.5,25.0,2
11,easy,video,True,16.0,16,1.4,T,-0.12,0.6,EW_60,EW,EW_60_dynamic_120ms_resized.mp4,False,0.8,1.28,True,left,0.5,27.5,2
